Symbol,Name
AAPL,Apple Inc
AMGN,Amgen Inc
AXP,American Express Company
BA,Boeing Company
CAT,Caterpillar Inc
CRM,Salesforce.com Inc
CSCO,Cisco Systems Inc
CVX,Chevron Corp
DIS,Walt Disney Company
DOW,Dow Inc
GS,Goldman Sachs Group
HD,Home Depot
HON,Honeywell International Inc
IBM,International Business Machines
INTC,Intel Corp
JNJ,Johnson & Johnson
JPM,JP Morgan Chase & Company
KO,Coca-Cola Company
MCD,McDonald's Corp
MMM,3M Company
MRK,Merck & Company
MSFT,Microsoft Corp
NKE,Nike Inc
PG,Procter & Gamble Company
TRV,The Travelers Companies Inc
UNH,Unitedhealth Group Inc
V,Visa Inc
VZ,Verizon Communications Inc
WBA,Walgreens Boots Alliance
WMT,Wal-Mart Stores
